"total","|","id","title","year","mpaa_rating","runtime","critics_consensus","release_dates__theater","release_dates__dvd","ratings__critics_rating","ratings__critics_score","ratings__audience_rating","ratings__audience_score","synopsis","posters__thumbnail","posters__profile","posters__detailed","posters__original","abridged_cast__name","abridged_cast__id","abridged_cast__characters-","alternate_ids__imdb","links__self","links__alternate","links__cast","links__reviews","links__similar","link_template","self","alternate"
"","","","","","","","","","","","","","","","","","","","Zach Galifianakis","162655230","Jake","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Edward Norton","162660884","Mike","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Andrea Riseborough","770704179","Laura","","","","","","","","",""
"","","771366367","The Theory of Everything","2014","PG-13","123","","2014-11-07","2015-02-17","Certified Fresh","79","Upright","84","Starring Eddie Redmayne (""Les Miserables"") and Felicity Jones (""The Amazing Spider-Man 2""), this is the extraordinary story of one of the world's greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde. Once a healthy, active young man, Hawking received an earth-shattering diagnosis at 21 years of age. With Jane fighting tirelessly by his side, Stephen embarks on his most ambitious scientific work, studying the very thing he now has precious little of - time. Together, they defy impossible odds, breaking new ground in medicine and science, and achieving more than they could ever have dreamed. The film is based on the memoir Travelling to Infinity: My Life with Stephen, by Jane Hawking, and is directed by Academy Award winner James Marsh (""Man on Wire""). (c) Focus","http://resizing.flixster.com/BI7HY-o4Z2ybr1db7YnbDdFWw-I=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/99/11189903_ori.jpg","http://resizing.flixster.com/BI7HY-o4Z2ybr1db7YnbDdFWw-I=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/99/11189903_ori.jpg","http://resizing.flixster.com/BI7HY-o4Z2ybr1db7YnbDdFWw-I=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/99/11189903_ori.jpg","http://resizing.flixster.com/BI7HY-o4Z2ybr1db7YnbDdFWw-I=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/99/11189903_ori.jpg","Eddie Redmayne","358068995","Stephen Hawking","2980516","http://api.rottentomatoes.com/api/public/v1.0/movies/771366367.json","http://www.rottentomatoes.com/m/the_theory_of_everything_2014/","http://api.rottentomatoes.com/api/public/v1.0/movies/771366367/cast.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771366367/reviews.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771366367/similar.json","","",""
"","","","","","","","","","","","","","","","","","","","Felicity Jones","770696159","Jane Wilde","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Charlie Cox","392799906","Jonathan Hellyer Jones","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Emily Watson","162654016","Beryl Wilde","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","David Thewlis","162656526","Dennis Sciama","","","","","","","","",""
"","","771359313","Dumb and Dumber To","2014","PG-13","109","","2014-11-14","2015-02-17","Rotten","29","Spilled","39","Jim Carrey and Jeff Daniels reprise their signature roles as Lloyd and Harry in the sequel to the smash hit that took the physical comedy and kicked it in the nuts: Dumb and Dumber To. The original film's directors, Peter and Bobby Farrelly, take Lloyd and Harry on a road trip to find a child Harry never knew he had and the responsibility neither should ever, ever be given. The Farrelly brothers produce Dumb and Dumber To alongside Riza Aziz and Joey McFarland of Red Granite Pictures. They are joined by fellow producers Charles B. Wessler and Bradley Thomas. Universal Pictures will distribute the film in the United States, Canada and select international territories.(C) Universal","http://resizing.flixster.com/L46fLlNaCFR91IRmvByEtYz-tko=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/98/11189811_ori.jpg","http://resizing.flixster.com/L46fLlNaCFR91IRmvByEtYz-tko=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/98/11189811_ori.jpg","http://resizing.flixster.com/L46fLlNaCFR91IRmvByEtYz-tko=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/98/11189811_ori.jpg","http://resizing.flixster.com/L46fLlNaCFR91IRmvByEtYz-tko=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/98/11189811_ori.jpg","Jim Carrey","162659418","Lloyd Christmas","2096672","http://api.rottentomatoes.com/api/public/v1.0/movies/771359313.json","http://www.rottentomatoes.com/m/dumb_and_dumber_to/","http://api.rottentomatoes.com/api/public/v1.0/movies/771359313/cast.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771359313/reviews.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771359313/similar.json","","",""
"","","","","","","","","","","","","","","","","","","","Jeff Daniels","162654392","Harry Dunne","","","","","","","","",""
